old_id,new_id
FR-01,FR-01
FR-02,FR-02
FR-03,FR-03
FR-04,FR-04
FR-05,FR-05
FR-06,FR-06
FR-07,FR-07
FR-08,FR-08
FR-09,FR-09
FR-10,FR-10
FR-11,FR-11
FR-12,FR-12
FR-13,FR-13
FR-14,FR-16
FR-15,FR-17
FR-16,FR-18
FR-17,FR-19
FR-18,FR-20
FR-19,FR-21
FR-20,FR-22
FR-21,FR-23
FR-22,FR-24
FR-23,FR-25
FR-24,FR-26
FR-25,FR-27
FR-26,FR-28
FR-27,FR-29
FR-28,FR-30
FR-29,FR-31
FR-30,FR-32
FR-31,FR-33
FR-32,FR-34
FR-33,FR-35
FR-34,FR-36
FR-35,FR-37
FR-36,FR-38
FR-37,FR-39
FR-38,FR-40
FR-39,FR-41
FR-40,FR-42
FR-41,FR-43
FR-42,FR-44
FR-43,FR-45
FR-44,FR-46
FR-47,FR-50
FR-45,FR-48
FR-46,FR-49
FR-48,FR-51
FR-49,FR-52
FR-50,FR-53
FR-51,FR-54
FR-52,FR-55
FR-53,FR-56
FR-54,FR-57
FR-55,FR-58
FR-56,FR-59
FR-57,FR-60
FR-58,FR-61
FR-59,FR-62
FR-60,FR-63
FR-61,FR-64
FR-62,FR-65
FR-63,FR-66
FR-64,FR-67
FR-65,FR-68
FR-66,FR-69
FR-70,FR-74
FR-67,FR-71
FR-68,FR-72
FR-69,FR-73
FR-71,FR-75
FR-72,FR-76
FR-73,FR-77
FR-74,FR-78
FR-75,FR-79
FR-76,FR-80
FR-77,FR-81
FR-78,FR-82
FR-83,FR-83
FR-79,FR-84
