old_id,new_id
NFR-CONF-01,NFR-001
NFR-CONF-02,NFR-002
NFR-CONF-03,NFR-003
NFR-CONF-04,NFR-004
NFR-CONF-05,NFR-005
NFR-CONF-06,NFR-006
NFR-CONF-07,NFR-007
NFR-INT-01,NFR-008
NFR-INT-02,NFR-009
NFR-INT-03,NFR-010
NFR-INT-04,NFR-011
NFR-INT-05,NFR-012
NFR-INT-06,NFR-013
NFR-INT-07,NFR-014
NFR-AVAIL-01,NFR-015
NFR-AVAIL-02,NFR-016
NFR-AVAIL-03,NFR-017
NFR-AVAIL-04,NFR-018
NFR-AVAIL-05,NFR-019
NFR-AVAIL-06,NFR-020
NFR-AVAIL-07,NFR-021
NFR-PRIV-01,NFR-022
NFR-PRIV-02,NFR-023
NFR-PRIV-03,NFR-024
NFR-PRIV-04,NFR-025
NFR-PRIV-05,NFR-026
NFR-PRIV-06,NFR-027
NFR-PRIV-07,NFR-028
NFR-PRIV-08,NFR-029
NFR-PRIV-09,NFR-030
NFR-ACC-01,NFR-031
NFR-ACC-02,NFR-032
NFR-ACC-03,NFR-033
NFR-ACC-04,NFR-034
NFR-ACC-05,NFR-035
NFR-ACC-06,NFR-036
NFR-ACC-07,NFR-037
NFR-COMP-01,NFR-038
NFR-COMP-02,NFR-039
NFR-COMP-03,NFR-040
NFR-COMP-04,NFR-041
NFR-COMP-05,NFR-042
NFR-COMP-06,NFR-043
NFR-COMP-07,NFR-044
NFR-COMP-08,NFR-045
NFR-COMP-09,NFR-046
NFR-AI-01,NFR-047
NFR-AI-02,NFR-048
NFR-AI-03,NFR-049
NFR-AI-04,NFR-050
NFR-AI-05,NFR-051
NFR-AI-06,NFR-052
NFR-AI-07,NFR-053
NFR-AI-08,NFR-054
NFR-AI-09,NFR-055
NFR-AI-10,NFR-056
